DATE,NYGDPPCAPKDUSA
1960-01-01,19135.2681815327
1961-01-01,19253.5473294341
1962-01-01,20116.2351242269
1963-01-01,20701.2699473561
1964-01-01,21599.8187054259
1965-01-01,22696.678582964
1966-01-01,23894.408153854
1967-01-01,24226.5287873383
1968-01-01,25137.1602435017
1969-01-01,25664.3794275179
1970-01-01,25295.2100247742
1971-01-01,25800.0012953805
1972-01-01,26867.6303169189
1973-01-01,28114.8675610758
1974-01-01,27708.5699542679
1975-01-01,27380.3393850157
1976-01-01,28582.7368220699
1977-01-01,29605.1832509229
1978-01-01,30914.6159489633
1979-01-01,31543.384323832
1980-01-01,31161.9307250523
1981-01-01,31640.6777866874
1982-01-01,30775.4413892534
1983-01-01,31893.1990487271
1984-01-01,33906.3512435069
1985-01-01,35008.5302281401
1986-01-01,35887.5545010474
1987-01-01,36798.6044063082
1988-01-01,37989.1923811549
1989-01-01,39014.204109084
1990-01-01,39303.4890094262
1991-01-01,38739.7983208225
1992-01-01,39552.0218779482
1993-01-01,40108.0080371193
1994-01-01,41215.3429307632
1995-01-01,41820.6801876235
1996-01-01,42896.4164829209
1997-01-01,44267.9058817489
1998-01-01,45715.6926453849
